"JPM.Adjusted","C.Adjusted","MCO.Adjusted","GOOGL.Adjusted","NFLX.Adjusted"
113.860718,73.605515,166.641891,1094.76001,315
113.959679,73.249451,165.209274,1100.900024,325.220001
113.534164,73.110985,165.90567,1115.040039,321.160004
113.544052,73.298912,167.507446,1129.380005,317
116.809662,75.277016,169.178833,1160.839966,331.440002
116.433624,75.188004,168.989807,1165.930054,321.299988
115.038315,74.090157,168.213806,1139.910034,315.880005
113.751862,72.665916,165.836044,1148.890015,321.549988
114.038841,72.537331,165.627106,1150.609985,321.089996
114.236763,72.665916,166.442932,1134.420044,318.450012
113.336243,71.904343,164.542709,1100.069946,313.480011
113.445099,72.121933,166.602112,1095.800049,317.5
113.544052,72.517555,166.353394,1094,316.480011
108.803978,69.540497,160.085663,1053.150024,306.700012
105.89463,67.156876,157.608414,1026.550049,300.940002
109.160225,69.016296,162.463425,1054.089966,320.350006
107.042534,67.532715,158.722672,1006.940002,300.690002
106.874306,67.512939,158.125748,1005.179993,285.769989
108.823776,66.761253,160.473663,1037.140015,295.350006
106.725868,66.968948,157.847183,1012.630005,280.290009
108.190445,67.73053,160.045868,1018.679993,283.670013
109.833138,68.551437,161.428741,1029.709961,288.940002
111.275299,69.451485,161.398895,1032.640015,293.970001
108.500374,67.849213,158.175507,1009.950012,288.850006
109.803299,68.680023,158.643097,1020.090027,289.929993
111.901901,69.738312,161.806793,1036.5,298.070007
110.022118,69.125092,161.568008,1025.060059,303.670013
112.757248,71.340576,163.110092,1037.290039,309.25
109.703842,70.232841,162.055511,1036.040039,311.649994
109.614326,69.303123,163.537872,1046.099976,307.779999
109.614326,68.976738,165.08989,1079.359985,336.059998
108.729134,68.22506,165.617172,1075.390015,334.519989
111.116165,69.510826,164.871017,1089.449951,332.700012
110.867516,69.233887,163.179733,1077.319946,327.769989
110.330437,68.719582,161.647614,1073.810059,318.690002
109.813248,68.363525,159.63797,1022.640015,307.019989
109.395515,68.600891,161.707306,1022.98999,305.76001
109.504921,68.422867,163.836334,1043.310059,313.980011
108.808708,68.23494,162.194794,1031.449951,311.76001
108.192055,67.52282,161.369049,1018.580017,312.459991
108.192055,67.503044,163.319,1040.75,313.299988
107.3367,67.245888,161.876434,1026.050049,313.359985
106.660378,67.196434,162.284332,1026.300049,311.690002
107.843948,67.514435,165.457993,1051,320.089996
108.77887,68.070923,166.532455,1059.459961,326.26001
110.390106,70.55526,167.029892,1058.589966,326.890015
112.797035,71.499306,169.67627,1088.949951,330.299988
113.672279,72.115425,172.889725,1105.469971,329.600006
113.244598,72.40361,173.15834,1103.380005,326.459991
113.284386,72.165115,171.118851,1106.599976,328.529999
112.419083,72.224739,170.014526,1084.869995,326.130005
112.727409,71.499306,171.35762,1084.089966,328.190002
112.349464,71.111755,170.661194,1081.26001,325.220001
110.52935,69.521774,172.077576,1069.640015,324.179993
111.543846,69.988831,174.640976,1084.01001,331.820007
112.399193,70.634766,173.912842,1075.310059,331.619995
111.882004,69.800018,173.603638,1085.959961,344.720001
110.628815,68.875847,173.503891,1085.449951,349.290009
110.061897,68.011299,173.583694,1084.079956,351.290009
105.35746,65.298401,170.371948,1068.069946,349.730011
107.764381,66.262321,172.97525,1077.469971,353.540009
106.431625,66.272263,170.132568,1100,351.600006
107.81411,66.858566,172.516449,1135,359.929993
107.863838,66.918182,174.780609,1153.040039,361.809998
107.257133,66.34182,175.768082,1151.02002,365.799988
109.763519,67.80262,177.852707,1146.949951,367.450012
110.201141,68.021233,177.304123,1134.420044,361.399994
110.50946,68.041115,178.750412,1132.709961,360.570007
110.23098,67.683365,177.363983,1140.900024,361.450012
109.594437,67.186501,177.593384,1148.189941,363.829987
109.375626,66.8685,176.416397,1144.22998,379.929993
107.446106,65.745583,175.478806,1160.109985,392.869995
107.316811,65.924446,176.346588,1159.27002,391.980011
107.595299,66.331886,174.7108,1183.579956,390.399994
106.968704,66.361694,172.785736,1178.689941,404.980011
106.958755,66.957932,173.025131,1184.069946,416.76001
106.928925,67.206367,171.987793,1169.439941,415.440002
105.178436,66.77906,171.96785,1169.290039,411.089996
104.223625,65.33815,169.165054,1139.280029,384.480011
104.293243,65.894638,169.035385,1132.619995,399.390015
102.681999,65.049965,168.037949,1116.939941,390.390015
104.362862,66.461067,170.142548,1126.780029,395.420013
103.63681,66.500816,170.122589,1129.189941,391.429993
104.512054,66.739319,170.53154,1142.109985,398.179993
103.050003,65.646202,169.324631,1116.280029,390.519989
103.720001,66.143074,170.621307,1141.290039,398.390015
104.059998,66.719437,172.366821,1155.079956,408.25
107.279999,68.508171,175.000046,1167.280029,418.970001
106.620003,67.80262,176.236877,1167.140015,415.630005
106.389999,67.484619,177.573425,1171.459961,418.649994
106.849998,68.080864,181.04451,1201.26001,413.5
106.360001,66.580315,181.493362,1204.420044,395.799988
110.580002,69.02491,181.852432,1196.51001,400.480011
110.5,68.915596,182.221481,1213.079956,379.480011
111.529999,69.412468,184.016876,1212.910034,375.130005
109.889999,68.557854,181.882355,1199.099976,364.230011
111.279999,68.786415,184.944473,1197.880005,361.049988
113.349998,69.77021,185.642685,1211,362.660004
114.150002,70.624825,185.153946,1258.150024,357.320007
115.18,71.270752,186.540375,1275.939941,362.869995
114.849998,70.893127,185.243713,1285.5,363.089996
116.029999,71.240944,176.14711,1252.890015,355.209991
