Date,GSPC.Adjusted,PEP.Adjusted,JPM.Adjusted,BLK.Adjusted,PFE.Adjusted,C.Adjusted,MCO.Adjusted,GOOGL.Adjusted,WHR.Adjusted,NFLX.Adjusted
17/10/17,2559.360107,110.599663,96.624115,470.678619,35.199326,71.253296,143.010345,1011,172.699631,199.479996
18/10/17,2561.26001,110.36306,96.990334,472.608643,34.839554,72.171227,144.072021,1012.73999,173.14032,195.539993
19/10/17,2562.100098,111.072853,97.109116,471.905945,35.23822,71.934341,143.069855,1001.840027,174.286194,195.130005
20/10/17,2575.209961,110.027878,98.494835,471.73764,35.413242,72.575905,144.528442,1005.070007,178.693298,194.160004
23/10/17,2564.97998,110.10675,98.326561,469.530518,35.393799,72.575905,144.925339,985.539978,178.732468,192.470001
24/10/17,2569.129883,109.180069,99.89045,468.867371,35.267391,73.276695,145.858032,988.48999,159.889633,196.020004
25/10/17,2557.149902,108.509712,99.989426,464.344177,35.160431,72.664749,144.449081,991.460022,157.617554,193.770004
26/10/17,2560.399902,109.160355,100.70208,468.629852,34.752045,72.832542,146.235092,991.419983,158.175781,195.210007
27/10/17,2581.070068,109.032196,100.731773,470.262939,34.61591,72.911499,145.262695,1033.670044,158.077835,199.539993
30/10/17,2572.830078,108.095665,100.375458,467.452026,34.178352,72.822662,141.869278,1033.130005,158.322678,198.369995
31/10/17,2575.26001,108.66745,99.583618,466.006989,34.090839,72.546303,141.303711,1033.040039,160.545807,196.429993
1/11/17,2579.360107,108.568855,99.89045,464.482758,34.285309,73.069412,142.375305,1042.599976,161.025696,198
2/11/17,2579.850098,108.489998,100.553604,470.055115,34.479782,73.770203,142.414993,1042.969971,160.03656,199.320007
3/11/17,2587.840088,108.657593,100.375458,474.202148,34.567291,73.403442,145.153534,1049.98999,160.477264,200.009995
6/11/17,2591.129883,107.711197,99.751877,470.738007,34.343651,73.155624,143.387375,1042.680054,160.046341,200.130005
7/11/17,2590.639893,108.904037,97.742592,468.520966,34.382545,72.075134,142.653137,1052.390015,159.204117,195.889999
8/11/17,2594.379883,110.412354,96.643913,467.362946,34.363098,71.708366,143.804108,1058.290039,159.409775,196.440002
9/11/17,2584.620117,109.899727,96.63401,461.820343,34.539722,71.797585,141.978409,1047.719971,159.380402,193.899994
10/11/17,2582.300049,111.151726,96.515244,461.058197,34.5201,71.619156,141.085419,1044.150024,158.704636,192.020004
13/11/17,2584.840088,112.423439,96.861664,460.345581,34.637848,71.361427,141.045715,1041.199951,158.332474,195.080002
14/11/17,2578.870117,114.119057,96.277679,465.63089,34.716347,70.905441,142.02803,1041.640015,157.676315,195.710007
15/11/17,2564.620117,113.468407,97.188301,465.680359,34.69672,71.103699,140.857193,1036.410034,158.234543,192.119995
16/11/17,2585.639893,113.596565,97.465446,469.164276,34.892971,71.044212,142.970627,1048.469971,160.610977,195.509995
17/11/17,2578.850098,113.054359,97.138809,469.134613,34.706532,70.707191,145.649643,1035.890015,163.095856,193.199997
20/11/17,2582.139893,113.281105,97.999939,469.906616,34.686909,71.420906,147.53981,1034.660034,162.898651,194.100006
21/11/17,2599.030029,114.404945,97.920753,476.429108,34.873344,71.748016,148.683838,1050.300049,166.52739,196.229996
22/11/17,2597.080078,113.448692,97.633705,474.033905,34.765408,71.629066,148.624146,1051.920044,164.318588,196.320007
24/11/17,2602.419922,114.257072,97.316971,474.825684,34.824284,71.391159,149.449829,1056.52002,165.482162,195.75
27/11/17,2601.419922,114.207779,96.930954,477.022949,34.824284,70.766663,149.091705,1072.01001,162.701447,195.050003
28/11/17,2627.040039,115.114731,100.325966,488.009247,35.177528,73.056488,150.096466,1063.290039,165.146881,199.179993
29/11/17,2626.070068,115.183739,102.671783,495.689789,35.530773,74.384796,149.061859,1037.380005,166.635864,188.149994
30/11/17,2647.580078,115.665184,103.45372,496.056,35.579838,74.840782,151.031586,1036.170044,166.22171,187.580002
1/12/17,2642.219971,115.923279,103.72097,499.42807,35.668152,74.850693,150.514282,1025.069946,165.127182,186.820007
4/12/17,2639.439941,116.598289,105.858932,510.78775,35.383595,76.426804,150.961945,1011.869995,167.266953,184.039993
5/12/17,2629.570068,116.727333,104.641479,509.415039,34.961655,75.871696,151.290222,1019.599976,166.764038,184.210007
6/12/17,2629.27002,118.027725,103.859543,509.116638,34.892971,74.781303,151.479248,1032.719971,166.754196,185.300003
7/12/17,2636.97998,115.87365,103.552711,509.703491,34.834095,74.325325,150.942047,1044.569946,168.11496,185.199997
8/12/17,2651.5,115.714821,104.849335,512.767212,35.069592,75.048943,151.598618,1049.380005,167.335968,188.539993
11/12/17,2659.98999,116.528801,104.542503,509.424988,35.530773,75.187721,151.598618,1051.969971,165.531448,186.220001
12/12/17,2664.110107,116.538734,105.759949,514.995422,35.893841,75.485107,151.777695,1048.77002,164.190384,185.729996
13/12/17,2662.850098,116.935799,104.433624,509.842773,35.952713,74.483917,149.390137,1051.390015,164.713013,187.860001
14/12/17,2652.01001,117.154175,103.5923,504.073425,35.776089,73.274567,148.723633,1057.469971,161.636475,189.559998
15/12/17,2675.810059,118.345383,105.05719,509.166382,36.502205,74.117149,149.788071,1072,162.198547,190.119995
