"PEP.Adjusted","JPM.Adjusted","BLK.Adjusted","PFE.Adjusted","GSPC.Adjusted","C.Adjusted","MCO.Adjusted","GOOGL.Adjusted","WHR.Adjusted","BA.Adjusted","NFLX.Adjusted","V.Adjusted"
109.160355,100.70208,468.629852,34.752045,2560.399902,72.832542,146.235092,991.419983,158.175781,255.34314,195.210007,109.239769
109.032196,100.731773,470.262939,34.61591,2581.070068,72.911499,145.262695,1033.670044,158.077835,252.575714,199.539993,109.150215
108.095665,100.375458,467.452026,34.178352,2572.830078,72.822662,141.869278,1033.130005,158.322678,255.323502,198.369995,109.478539
108.66745,99.583618,466.006989,34.090839,2575.26001,72.546303,141.303711,1033.040039,160.545807,254.072723,196.429993,109.418846
108.568855,99.89045,464.482758,34.285309,2579.360107,73.069412,142.375305,1042.599976,161.025696,254.584824,198,110.503288
108.489998,100.553604,470.055115,34.479782,2579.850098,73.770203,142.414993,1042.969971,160.03656,258.652252,199.320007,110.413742
108.657593,100.375458,474.202148,34.567291,2587.840088,73.403442,145.153534,1049.98999,160.477264,257.785614,200.009995,110.791801
107.711197,99.751877,470.738007,34.343651,2591.129883,73.155624,143.387375,1042.680054,160.046341,260.070465,200.130005,111.348946
108.904037,97.742592,468.520966,34.382545,2590.639893,72.075134,142.653137,1052.390015,159.204117,262.099274,195.889999,111.518074
110.412354,96.643913,467.362946,34.363098,2594.379883,71.708366,143.804108,1058.290039,159.409775,261.54776,196.440002,111.896149
109.899727,96.63401,461.820343,34.539722,2584.620117,71.797585,141.978409,1047.719971,159.380402,260.112061,193.899994,111.567825
111.151726,96.515244,461.058197,34.5201,2582.300049,71.619156,141.085419,1044.150024,158.704636,258.280273,192.020004,111.309143
112.423439,96.861664,460.345581,34.637848,2584.840088,71.361427,141.045715,1041.199951,158.332474,259.834808,195.080002,110.831596
114.119057,96.277679,465.63089,34.716347,2578.870117,70.905441,142.02803,1041.640015,157.676315,259.181305,195.710007,111.408638
113.468407,97.188301,465.680359,34.69672,2564.620117,71.103699,140.857193,1036.410034,158.234543,260.270447,192.119995,109.687462
113.596565,97.465446,469.164276,34.892971,2585.639893,71.044212,142.970627,1048.469971,160.610977,261.102203,195.509995,110.649239
