Date,DJI,DWDP,MMM,IBM,KO,MCD,GS,MSFT,TRV,AXP,PG,UTX,JPM,AAPL,DIS,BA,XOM,INTC,CAT,GE,V,NKE,CVX,CSCO,WMT,PFE,JNJ,HD,UNH,MRK,VZ
1/7/17,21891.11914,62.457275,197.848892,138.817764,44.7136,152.347229,223.232941,71.616943,125.967216,83.97036,87.953148,116.505295,89.841263,146.4534,108.247459,237.372009,76.969513,34.563847,111.382202,24.807316,99.051682,58.476101,106.045593,30.418697,78.112534,31.931452,130.24437,147.131821,189.81337,62.341198,46.096012
1/8/17,21948.09961,65.950417,200.946899,137.24411,44.430725,157.090286,221.65773,73.656097,119.17173,85.147667,90.058006,117.635269,89.439957,161.48967,100.392395,234.630768,73.401833,34.174065,115.671387,23.780537,102.991455,52.296745,104.520805,31.444839,76.237595,32.663296,129.900894,147.397369,196.829559,62.321682,46.285133
1/9/17,22405.08984,68.503334,207.622147,140.682037,43.903996,154.772339,235.785095,73.771225,120.489525,89.459442,88.798943,114.751366,93.986244,152.356857,97.783386,250.359802,79.59922,37.385208,122.779633,23.422132,104.871284,51.522522,115.262856,32.831108,76.785919,34.71315,128.396515,161.812775,193.811325,62.487583,47.751743
1/10/17,23377.24023,71.551003,227.691971,149.389816,45.207031,164.877792,241.043762,82.37738,131.056458,94.463478,84.270172,118.389244,99.00489,167.106186,97.029449,254.072723,80.929436,44.660011,133.697968,19.723249,109.594681,54.642693,113.68351,33.338753,85.797005,34.090839,137.679855,164.009064,208.821213,54.151806,46.188641
1/11/17,24272.34961,71.204674,240.501434,149.302551,45.000561,169.876175,246.173187,83.357826,134.143646,97.002304,88.490456,120.059891,103.45372,169.884033,103.983513,272.607666,80.871178,44.02187,139.794037,17.893763,112.195526,60.038391,116.724487,36.728584,95.545113,35.257668,137.600861,177.899094,226.651764,54.328743,49.691639
1/12/17,24719.2207,70.854576,233.99025,150.25621,45.478539,171.037949,254.04686,85.14006,134.212906,98.590714,90.348961,126.865189,105.849037,167.895416,106.652046,292.00473,81.962608,45.585854,156.066208,17.07196,113.821838,62.154942,123.956055,37.713264,97.038773,35.540588,138.831009,188.455261,219.732483,55.311714,51.683605
1/1/18,26149.39063,75.192207,249.031555,160.324219,47.173576,170.064117,267.140137,94.565781,149.142761,98.680061,84.901276,137.247513,114.489975,166.109604,108.669998,350.878967,85.54921,47.541225,161.216248,16.037277,124.014099,68.014267,124.114479,40.903633,105.304802,36.345207,137.310745,199.760788,235.998627,58.736362,52.796757
1/2/18,25029.19922,69.939301,234.129425,152.616516,42.841816,156.748367,262.194,93.331573,138.279373,97.145302,77.799858,133.99559,114.917252,176.715302,103.160004,358.641724,74.221039,48.676922,153.855362,13.994186,122.726341,66.827858,110.816849,44.422886,88.916382,35.628902,129.053619,181.236435,225.413666,53.749969,47.14677
1/3/18,24103.10938,63.709999,219.520004,151.745483,43.049976,156.380005,251.860001,91.269997,138.140106,92.931122,78.552895,125.82,109.415154,167.135513,100.440002,326.252502,73.861343,51.781151,146.641678,13.48,119.620003,66.239639,114.040001,42.547958,87.889015,35.146908,128.149994,177.229294,213.293793,53.997803,47.225777
1/4/18,24163.15039,63.240002,194.389999,143.368484,43.209999,167.440002,238.330002,93.519997,131.600006,98.380661,71.676537,120.150002,108.231155,164.625183,100.330002,331.904297,76.969833,51.323788,143.63681,14.07,126.879997,68.389999,125.110001,43.936794,87.906197,36.256081,126.489998,184.800003,236.399994,58.869999,48.736763
1/5/18,24831.16992,66.93,205.160004,142.55748,42.139999,165.389999,242.919998,97.699997,131.25,101.419998,73.370003,124.480003,113.860001,187.86557,102.07,340.760132,80.464417,54.356285,154.860001,14.6,131.820007,68.43,129.839996,45.93,82.857994,35.156811,127.239998,190.309998,238.279999,59.689999,48.619999
